id,objective,theta0,theta1
0.0,6.502869120000002,3.45,2.754,
1.0,5.50327415549952,3.32832,3.056544,
2.0,4.6769541023173975,3.16474752,3.300067584,
3.0,3.977023702548239,3.01339587072,3.523649025024,
4.0,3.384146820271655,2.87408617070592,3.729414514212864,
5.0,2.8819497469939326,2.7458717552423733,3.918791439342895,
6.0,2.456563114544319,2.627869122048696,4.093085218220285,
7.0,2.096238858001407,2.519264944962089,4.253497167527649,
8.0,1.7910257649017294,2.4193106731270144,4.401132921663507,
9.0,1.5324946488085796,2.3273173748394314,4.537010055464645,
10.0,1.3135055572543033,2.2426509891566786,4.662065097842953,
11.0,1.1280105849489654,2.164727955652963,4.777159986782314,
12.0,0.9708868464725664,2.0930111922473174,4.883088010219307,
13.0,0.8377949955939232,2.027006393382086,4.980579273755606,
14.0,0.7250593838902653,1.9662586230372712,5.070305732888089,
15.0,0.6295665489624005,1.910349179098184,5.152885824441171,
16.0,0.5486792287558013,1.8588927074641635,5.228888729123348,
17.0,0.4801635272882831,1.811534546007443,5.298838294587501,
18.0,0.4221272202923787,1.7679482800754824,5.363216646034525,
19.0,0.3729674969358323,1.7278334926881445,5.422467509246255,
20.0,0.3313266943833429,1.6909136939230163,5.476999268951598,
21.0,0.2960548027040647,1.6569344152172338,5.52718778360555,
22.0,0.2661777046085954,1.6256614554508393,5.573378975981892,
23.0,0.24087027288015522,1.596879266722857,5.615891217435131,
24.0,0.2194335825214371,1.5703894686941022,5.655017522265143,
25.0,0.20127560827629892,1.5460094812568708,5.691027567309108,
26.0,0.1858948744424041,1.523571266107236,5.724169550680707,
27.0,0.17286660542541807,1.5029201685462739,5.754671902467891,
28.0,0.16183099454937114,1.483913851527368,5.782744859180143,
29.0,0.15248326713840324,1.4664213146025504,5.808581912797076,
30.0,0.1445652634382709,1.4503219910059932,5.832361144405869,
31.0,0.13785830891991963,1.435504916651333,5.854246451619615,
32.0,0.132177175061586,1.4218679653151616,5.874388678236516,
33.0,0.12736496382204332,1.409317144735212,5.8929266539260565,
34.0,0.12328877452754149,1.3977659487716196,5.909988151108183,
